Strategy Measurement Size
W 84 1000
W 85.9 1000
W 85.7 1000
W 84.5 1000
W 87.1 1000
W 85.1 1000
W 84.8 1000
W 85.8 1000
W 86.1 1000
W 85.4 1000
W 86.2 1000
W 86.7 1000
W 86.3 1000
W 85.5 1000
W 87.2 1000
W 87.3 1000
W 85.3 1000
W 86.5 1000
W 88.5 1000
W 86 1000
W 87.9 1000
W 85.1 1000
W 85.6 1000
W 86.8 1000
W 84 1000
W 85.4 1000
W 86 1000
W 86.3 1000
W 84.9 1000
W 85.4 1000
W 86.1 1000
W 85.9 1000
W 83.4 1000
W 87.3 1000
W 84.8 1000
W 87 1000
W 87.6 1000
W 86.8 1000
W 85.3 1000
W 84.8 1000
W 86.2 1000
W 86.5 1000
W 86.6 1000
W 86.7 1000
W 88.5 1000
W 85.5 1000
W 85.4 1000
W 85.3 1000
W 85 1000
W 85.6 1000
W 85.1 1000
W 86.1 1000
W 86 1000
W 83 1000
W 86.1 1000
W 87 1000
W 86.2 1000
W 87.1 1000
W 84.2 1000
W 86.5 1000
W 85.1 1000
W 86.8 1000
W 82.3 1000
W 84.5 1000
W 87.4 1000
W 85.9 1000
W 85.3 1000
W 86 1000
W 85.1 1000
W 86 1000
W 84.4 1000
W 85.2 1000
W 87.7 1000
W 84.8 1000
W 85.1 1000
W 86.4 1000
W 86.1 1000
W 85.5 1000
W 85.2 1000
W 85 1000
W 86.3 1000
W 85 1000
W 86.6 1000
W 84.7 1000
W 86.6 1000
W 84.9 1000
W 87.5 1000
W 85.9 1000
W 86.5 1000
W 86.7 1000
W 86.2 1000
W 86.9 1000
W 84.7 1000
W 85 1000
W 86.7 1000
W 85.3 1000
W 86.3 1000
W 86.2 1000
W 86.5 1000
W 86.1 1000
L 67 1000
L 66.9 1000
L 67.4 1000
L 66.9 1000
L 66 1000
L 64.1 1000
L 68.6 1000
L 65.7 1000
L 66.4 1000
L 66 1000
L 64.5 1000
L 65.4 1000
L 65.8 1000
L 68.1 1000
L 67.7 1000
L 68.3 1000
L 66.7 1000
L 63.2 1000
L 66.7 1000
L 69.3 1000
L 66 1000
L 66.7 1000
L 66.8 1000
L 69 1000
L 67.4 1000
L 67.6 1000
L 68.4 1000
L 67.7 1000
L 67.4 1000
L 64.5 1000
L 65.4 1000
L 65.3 1000
L 67.9 1000
L 65.4 1000
L 66.7 1000
L 66.3 1000
L 64.5 1000
L 66.3 1000
L 69 1000
L 66.3 1000
L 65.1 1000
L 66.9 1000
L 67.3 1000
L 66.3 1000
L 66.4 1000
L 65.5 1000
L 67.9 1000
L 66.6 1000
L 64.7 1000
L 68.1 1000
L 66 1000
L 66.7 1000
L 67.1 1000
L 64.7 1000
L 66.5 1000
L 65.4 1000
L 67.8 1000
L 68.3 1000
L 66.8 1000
L 68.8 1000
L 68.8 1000
L 67.5 1000
L 66.7 1000
L 67.3 1000
L 66.9 1000
L 66.6 1000
L 66.6 1000
L 66.8 1000
L 67.7 1000
L 66.3 1000
L 67 1000
L 68.5 1000
L 68 1000
L 66.2 1000
L 66.1 1000
L 67.5 1000
L 65.3 1000
L 66.9 1000
L 68.6 1000
L 66.1 1000
L 67.3 1000
L 66.4 1000
L 67.6 1000
L 65.4 1000
L 67.8 1000
L 66.3 1000
L 67.4 1000
L 67.4 1000
L 65.4 1000
L 65.9 1000
L 65.8 1000
L 67.6 1000
L 67.9 1000
L 65.8 1000
L 65.5 1000
L 67.2 1000
L 66.4 1000
L 65.7 1000
L 65.9 1000
L 67.4 1000
M 76.2 1000
M 78.1 1000
M 72.9 1000
M 73.9 1000
M 73.4 1000
M 75.8 1000
M 75.6 1000
M 74.6 1000
M 75.5 1000
M 76.5 1000
M 76.3 1000
M 72.4 1000
M 77 1000
M 73.4 1000
M 75.3 1000
M 75.8 1000
M 76.1 1000
M 75.8 1000
M 72.8 1000
M 76.3 1000
M 75.1 1000
M 77.2 1000
M 74 1000
M 75.4 1000
