Cutoff Accuracy Size
0 100 33964
8 89.3246 17560
16 85.0186 10879
24 82.85 7911
32 81.5637 6110
40 80.7274 5096
48 80.005 4312
56 79.3878 3733
64 78.9052 3342
72 78.5056 3016
80 78.1459 2755
88 77.6899 2468
96 77.4398 2286
104 77.1719 2132
112 76.9261 2005
120 76.71 1891
128 76.5368 1766
136 76.2734 1674
144 76.0957 1593
152 75.9078 1519
160 75.8574 1463
168 75.7612 1402
176 75.4563 1323
184 75.3645 1266
192 75.2283 1219
200 75.1173 1177
208 74.9634 1124
216 74.9441 1093
224 74.8686 1052
232 74.7917 1019
