Cutoff Encoding Accuracy Size
0 SLE 100 33964
0 ELE 100 34481
0 SRE 100 31016
0 ERE 100 29080
16 SLE 85.0186 10879
16 ELE 84.7995 10750
16 SRE 86.8274 11127
16 ERE 87.4165 11313
32 SLE 81.5637 6110
32 ELE 81.5918 6252
32 SRE 83.4347 6623
32 ERE 83.9173 6891
48 SLE 80.005 4312
48 ELE 79.9029 4399
48 SRE 81.7399 4771
48 ERE 82.1099 4991
64 SLE 78.9052 3342
64 ELE 78.8194 3384
64 SRE 80.6963 3775
64 ERE 81.0693 3947
80 SLE 78.1459 2755
80 ELE 78.0334 2783
80 SRE 79.8407 3069
80 ERE 80.1116 3265
96 SLE 77.4398 2286
96 ELE 77.4975 2312
96 SRE 79.1376 2643
96 ERE 79.4322 2835
112 SLE 76.9261 2005
112 ELE 77.1363 2015
112 SRE 78.5603 2265
112 ERE 78.9748 2469
128 SLE 76.5368 1766
128 ELE 76.7618 1742
128 SRE 78.1296 2047
128 ERE 78.5115 2205
144 SLE 76.0957 1593
144 ELE 76.4022 1536
144 SRE 77.838 1855
144 ERE 78.0896 1969
160 SLE 75.8574 1463
160 ELE 76.0499 1353
160 SRE 77.4916 1659
160 ERE 77.8069 1779
176 SLE 75.4563 1323
176 ELE 75.8278 1235
176 SRE 77.0742 1487
176 ERE 77.4353 1615
