Function Depth Positions Value
WinLose 1 8 0
IBEF 1 8 3
ADATE 1 8 2
IBEFB 1 8 3
ADATEB 1 8 2
WinLose 2 15 0
IBEF 2 21 3
ADATE 2 21 2
IBEFB 2 15 0
ADATEB 2 15 0
WinLose 3 64 0
IBEF 3 136 8
ADATE 3 76 4
IBEFB 3 147 4
ADATEB 3 76 2
WinLose 4 113 0
IBEF 4 380 8
ADATE 4 173 4
IBEFB 4 191 0
ADATEB 4 113 0
WinLose 5 456 0
IBEF 5 2901 15
ADATE 5 1137 10
IBEFB 5 2361 5
ADATEB 5 1137 6
WinLose 6 799 0
IBEF 6 7638 15
ADATE 6 2579 10
IBEFB 6 2680 0
ADATEB 6 810 0
WinLose 7 6361 0
IBEF 7 50593 25
ADATE 7 22684 20
IBEFB 7 41325 5
ADATEB 7 15181 6
WinLose 8 10913 0
IBEF 8 118194 25
ADATE 8 69763 20
IBEFB 8 68763 0
ADATEB 8 15073 0
WinLose 9 85055 0
IBEF 9 811303 28
ADATE 9 398560 22
IBEFB 9 610378 5
ADATEB 9 643417 5
WinLose 10 142997 0
IBEF 10 1244085 24
ADATE 10 718787 14
IBEFB 10 1118033 0
ADATEB 10 294228 0
