fraction cutoff size certainty
3 0 17395 71.2776
3 32 4363 73.5335
3 64 2465 74.0264
3 96 1755 73.8265
3 128 1351 73.609
3 160 1111 73.4136
3 192 909 73.0539
3 224 811 72.9695
3 256 717 72.9473
3 288 625 72.7164
4 0 19490 71.5571
4 32 4813 73.4577
4 64 2737 73.6471
4 96 1971 73.1735
4 128 1521 73.1616
4 160 1269 73.132
4 192 1057 72.8597
4 224 889 72.4512
4 256 793 72.2202
4 288 687 72.1196
5 0 20788 72.0767
5 32 5123 73.7863
5 64 2907 73.8751
5 96 2075 73.7937
5 128 1615 73.8751
5 160 1307 73.6456
5 192 1097 73.357
5 224 923 73.1646
5 256 811 73.2386
5 288 721 73.2164
6 0 21500 71.8828
6 32 5303 73.952
6 64 3047 73.7922
6 96 2137 73.9254
6 128 1703 73.5879
6 160 1363 73.4991
6 192 1149 73.2416
6 224 1021 73.4458
6 256 891 73.2149
6 288 785 72.8952
7 0 22414 72.5935
7 32 5495 74.355
7 64 3093 74.3446
7 96 2203 73.868
7 128 1747 73.6297
7 160 1419 73.1634
7 192 1201 72.8215
7 224 1015 72.7593
7 256 919 72.5832
7 288 827 72.3863
8 0 22702 72.6229
8 32 5593 74.4583
8 64 3191 74.5056
8 96 2255 74.4938
8 128 1719 74.0675
8 160 1381 73.9136
8 192 1191 73.6057
8 224 1035 73.1676
8 256 901 72.9781
8 288 803 72.7057
9 0 23239 72.3991
9 32 5669 74.97
9 64 3255 74.9567
9 96 2291 74.597
9 128 1763 73.9443
9 160 1449 73.9976
9 192 1223 73.9177
9 224 1037 73.7978
9 256 909 73.3182
