Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  5.43      2.45     2.45 48438369     0.00     0.00  arti::Board::count(arti::Region const&, arti::Piece const&) const
  4.61      4.53     2.08 565587204     0.00     0.00  std::_Rb_tree_const_iterator<arti::Square>::operator->() const
  3.72      6.21     1.68 294143178     0.00     0.00  arti::Piece::operator==(arti::Piece const&) const
  3.37      7.73     1.52 45601000     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, arti::Region>, std::_Select1st<std::pair<std::string const, arti::Region> >, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, arti::Region> > const*, std::_Rb_tree_node<std::pair<std::string const, arti::Region> > const*, std::string const&) const
  3.10      9.13     1.40 379670340     0.00     0.00  std::_Rb_tree_const_iterator<arti::Square>::_Rb_tree_const_iterator(std::_Rb_tree_node<arti::Square> const*)
  3.06     10.51     1.38 282793602     0.00     0.00  std::_Rb_tree_const_iterator<arti::Square>::operator++(int)
  2.81     11.78     1.27 331231971     0.00     0.00  std::_Rb_tree_const_iterator<arti::Square>::operator!=(std::_Rb_tree_const_iterator<arti::Square> const&) const
  2.22     12.78     1.00 331231971     0.00     0.00  std::set<arti::Square, std::less<arti::Square>, std::allocator<arti::Square> >::end() const
  2.22     13.78     1.00 305492754     0.00     0.00  arti::Square::file() const
  2.17     14.76     0.98 305492754     0.00     0.00  arti::Square::rank() const
  1.95     15.64     0.88 299007282     0.00     0.00  arti::Board::at(unsigned int, unsigned int) const
  1.57     16.35     0.71 20132130     0.00     0.00  std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::_M_get_insert_unique_pos(arti::Square const&)
  1.55     17.05     0.70 331231971     0.00     0.00  std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::end() const
  1.55     17.75     0.70 226181046     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, arti::Region>, std::_Select1st<std::pair<std::string const, arti::Region> >, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, arti::Region> > const*)
  1.51     18.43     0.68 271782092     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.40     19.06     0.63 317637112     0.00     0.00  std::array<arti::Piece, 64u>::operator[](unsigned int) const
  1.35     19.67     0.61 271782092     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  1.26     20.24     0.57 50540234     0.00     0.00  std::map<arti::MatchOutcome, int, std::less<arti::MatchOutcome>, std::allocator<std::pair<arti::MatchOutcome const, int> > >::operator[](arti::MatchOutcome const&)
